,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
286,8073,"Lincoln, CO",Lincoln,CO,2001,77463.0
287,8075,"Logan, CO",Logan,CO,2001,509907.0
288,8077,"Mesa, CO",Mesa,CO,2001,2857776.0
289,8079,"Mineral, CO",Mineral,CO,2001,28676.0
290,8081,"Moffat, CO",Moffat,CO,2001,651285.0
291,8083,"Montezuma, CO",Montezuma,CO,2001,588737.0
292,8085,"Montrose, CO",Montrose,CO,2001,726137.0
293,8087,"Morgan, CO",Morgan,CO,2001,875686.0
294,8089,"Otero, CO",Otero,CO,2001,356448.0
295,8091,"Ouray, CO",Ouray,CO,2001,94864.0
296,8093,"Park, CO",Park,CO,2001,175221.0
297,8095,"Phillips, CO",Phillips,CO,2001,128987.0
298,8097,"Pitkin, CO",Pitkin,CO,2001,1244087.0
299,8099,"Prowers, CO",Prowers,CO,2001,316777.0
300,8101,"Pueblo, CO",Pueblo,CO,2001,2807642.0
301,8103,"Rio Blanco, CO",Rio Blanco,CO,2001,235104.0
302,8105,"Rio Grande, CO",Rio Grande,CO,2001,217310.0
303,8107,"Routt, CO",Routt,CO,2001,1209195.0
304,8109,"Saguache, CO",Saguache,CO,2001,65740.0
305,8111,"San Juan, CO",San Juan,CO,2001,20234.0
306,8113,"San Miguel, CO",San Miguel,CO,2001,367061.0
307,8115,"Sedgwick, CO",Sedgwick,CO,2001,53858.0
308,8117,"Summit, CO",Summit,CO,2001,1278187.0
309,8119,"Teller, CO",Teller,CO,2001,389326.0
310,8121,"Washington, CO",Washington,CO,2001,79153.0
311,8123,"Weld, CO*",Weld,CO*,2001,5106468.0
312,8125,"Yuma, CO",Yuma,CO,2001,412249.0
313,9001,"Fairfield, CT*",Fairfield,CT*,2001,56243637.0
314,9003,"Hartford, CT*",Hartford,CT*,2001,43267061.0
315,9005,"Litchfield, CT*",Litchfield,CT*,2001,5502251.0
316,9007,"Middlesex, CT*",Middlesex,CT*,2001,6396158.0
317,9009,"New Haven, CT*",New Haven,CT*,2001,29216590.0
318,9011,"New London, CT*",New London,CT*,2001,8382308.0
319,9013,"Tolland, CT*",Tolland,CT*,2001,2487431.0
320,9015,"Windham, CT*",Windham,CT*,2001,2622569.0
321,9110,"Capitol, CT*",Capitol,CT*,2001,
322,9120,"Greater Bridgeport, CT*",Greater Bridgeport,CT*,2001,
323,9130,"Lower Connecticut River Valley, CT*",Lower Connecticut River Valley,CT*,2001,
324,9140,"Naugatuck Valley, CT*",Naugatuck Valley,CT*,2001,
325,9150,"Northeastern Connecticut, CT*",Northeastern Connecticut,CT*,2001,
326,9160,"Northwest Hills, CT*",Northwest Hills,CT*,2001,
327,9170,"South Central Connecticut, CT*",South Central Connecticut,CT*,2001,
328,9180,"Southeastern Connecticut, CT*",Southeastern Connecticut,CT*,2001,
329,9190,"Western Connecticut, CT*",Western Connecticut,CT*,2001,
330,10001,"Kent, DE",Kent,DE,2001,2999417.0
331,10003,"New Castle, DE",New Castle,DE,2001,33439989.0
332,10005,"Sussex, DE",Sussex,DE,2001,5999402.0
333,11001,"District of Columbia, DC",District of Columbia,DC,2001,42301653.0
334,12001,"Alachua, FL",Alachua,FL,2001,4837424.0
335,12003,"Baker, FL",Baker,FL,2001,200897.0
336,12005,"Bay, FL",Bay,FL,2001,3434097.0
337,12007,"Bradford, FL",Bradford,FL,2001,263433.0
338,12009,"Brevard, FL",Brevard,FL,2001,11729381.0
339,12011,"Broward, FL",Broward,FL,2001,48639641.0
340,12013,"Calhoun, FL",Calhoun,FL,2001,129565.0
341,12015,"Charlotte, FL",Charlotte,FL,2001,2486964.0
342,12017,"Citrus, FL",Citrus,FL,2001,2504013.0
343,12019,"Clay, FL",Clay,FL,2001,1974943.0
344,12021,"Collier, FL",Collier,FL,2001,8674983.0
345,12023,"Columbia, FL",Columbia,FL,2001,886060.0
346,12027,"DeSoto, FL",DeSoto,FL,2001,383768.0
347,12029,"Dixie, FL",Dixie,FL,2001,109960.0
348,12031,"Duval, FL",Duval,FL,2001,29786626.0
349,12033,"Escambia, FL",Escambia,FL,2001,6826279.0
350,12035,"Flagler, FL",Flagler,FL,2001,869110.0
351,12037,"Franklin, FL",Franklin,FL,2001,183206.0
352,12039,"Gadsden, FL",Gadsden,FL,2001,538164.0
353,12041,"Gilchrist, FL",Gilchrist,FL,2001,109939.0
354,12043,"Glades, FL",Glades,FL,2001,123283.0
355,12045,"Gulf, FL",Gulf,FL,2001,164943.0
356,12047,"Hamilton, FL",Hamilton,FL,2001,165372.0
357,12049,"Hardee, FL",Hardee,FL,2001,426868.0
358,12051,"Hendry, FL",Hendry,FL,2001,786506.0
359,12053,"Hernando, FL",Hernando,FL,2001,1666473.0
360,12055,"Highlands, FL",Highlands,FL,2001,1187578.0
361,12057,"Hillsborough, FL",Hillsborough,FL,2001,37624014.0
362,12059,"Holmes, FL",Holmes,FL,2001,177320.0
363,12061,"Indian River, FL",Indian River,FL,2001,2727463.0
364,12063,"Jackson, FL",Jackson,FL,2001,508727.0
365,12065,"Jefferson, FL",Jefferson,FL,2001,114445.0
366,12067,"Lafayette, FL",Lafayette,FL,2001,80597.0
367,12069,"Lake, FL",Lake,FL,2001,3852577.0
368,12071,"Lee, FL",Lee,FL,2001,11655277.0
369,12073,"Leon, FL",Leon,FL,2001,5922710.0
370,12075,"Levy, FL",Levy,FL,2001,408534.0
371,12077,"Liberty, FL",Liberty,FL,2001,68165.0
372,12079,"Madison, FL",Madison,FL,2001,226672.0
373,12081,"Manatee, FL",Manatee,FL,2001,6545121.0
374,12083,"Marion, FL",Marion,FL,2001,4444821.0
375,12085,"Martin, FL",Martin,FL,2001,4098627.0
376,12086,"Miami-Dade, FL",Miami-Dade,FL,2001,72668591.0
377,12087,"Monroe, FL",Monroe,FL,2001,2293390.0
378,12089,"Nassau, FL",Nassau,FL,2001,1073619.0
379,12091,"Okaloosa, FL",Okaloosa,FL,2001,3757407.0
380,12093,"Okeechobee, FL",Okeechobee,FL,2001,557621.0
381,12095,"Orange, FL",Orange,FL,2001,41000154.0
382,12097,"Osceola, FL",Osceola,FL,2001,3398701.0
383,12099,"Palm Beach, FL",Palm Beach,FL,2001,38506656.0
384,12101,"Pasco, FL",Pasco,FL,2001,4592781.0
385,12103,"Pinellas, FL",Pinellas,FL,2001,27974129.0
386,12105,"Polk, FL",Polk,FL,2001,11662116.0
387,12107,"Putnam, FL",Putnam,FL,2001,1467706.0
388,12109,"St. Johns, FL",St. Johns,FL,2001,2851342.0
389,12111,"St. Lucie, FL",St. Lucie,FL,2001,3552812.0
390,12113,"Santa Rosa, FL",Santa Rosa,FL,2001,1520906.0
391,12115,"Sarasota, FL",Sarasota,FL,2001,9107622.0
392,12117,"Seminole, FL",Seminole,FL,2001,9829319.0
393,12119,"Sumter, FL",Sumter,FL,2001,498544.0
394,12121,"Suwannee, FL",Suwannee,FL,2001,586006.0
395,12123,"Taylor, FL",Taylor,FL,2001,390452.0
396,12125,"Union, FL",Union,FL,2001,90067.0
397,12127,"Volusia, FL",Volusia,FL,2001,8282650.0
398,12129,"Wakulla, FL",Wakulla,FL,2001,333999.0
399,12131,"Walton, FL",Walton,FL,2001,834580.0
400,12133,"Washington, FL",Washington,FL,2001,225378.0
401,13001,"Appling, GA",Appling,GA,2001,756580.0
402,13003,"Atkinson, GA",Atkinson,GA,2001,106936.0
403,13005,"Bacon, GA",Bacon,GA,2001,193793.0
404,13007,"Baker, GA",Baker,GA,2001,50561.0
405,13009,"Baldwin, GA",Baldwin,GA,2001,681637.0
406,13011,"Banks, GA",Banks,GA,2001,201118.0
407,13013,"Barrow, GA",Barrow,GA,2001,738450.0
408,13015,"Bartow, GA",Bartow,GA,2001,2727367.0
409,13017,"Ben Hill, GA",Ben Hill,GA,2001,468389.0
410,13019,"Berrien, GA",Berrien,GA,2001,262958.0
411,13021,"Bibb, GA",Bibb,GA,2001,5725872.0
412,13023,"Bleckley, GA",Bleckley,GA,2001,195594.0
413,13025,"Brantley, GA",Brantley,GA,2001,117005.0
414,13027,"Brooks, GA",Brooks,GA,2001,187670.0
415,13029,"Bryan, GA",Bryan,GA,2001,262781.0
416,13031,"Bulloch, GA",Bulloch,GA,2001,900920.0
417,13033,"Burke, GA",Burke,GA,2001,969581.0
418,13035,"Butts, GA",Butts,GA,2001,288476.0
